N,1,2,4,8,12
100000,0.000910,0.000464,0.000521,0.000571,0.000699
200000,0.004134,0.002270,0.002077,0.002364,0.002301
500000,0.008075,0.003811,0.004382,0.004171,0.002968
1000000,0.015561,0.010289,0.008192,0.007015,0.005973
