5.534562,600,12
8.312784,600,8
17.077114,600,4
33.309299,600,2
44.816630,1800,12
44.842927,1200,12
64.865741,600,1
65.737049,1200,8
66.964463,1800,8
131.926737,1800,4
134.775840,1200,4
267.697436,1800,2
274.569760,1200,2
350.384928,2400,12
350.924599,3600,12
4.279748,600,16
355.271330,3000,12
33.518645,1200,16
33.762709,1800,16
513.297404,1800,1
509.337727,2400,8
524.798227,1200,1
526.838852,3000,8
541.341409,3600,8
273.404914,2400,16
264.254365,3000,16
274.176846,3600,16
1020.093892,3600,4
1032.834922,3000,4
1033.956281,2400,4
1982.219462,2400,2
2023.161051,3000,2
2040.158033,3600,2
3925.781931,2400,1
4005.081375,3000,1
4013.241487,3600,1
