0.003081,10000,1
0.241665,1000000,1
22.755483,100000000,1
46.071269,200000000,1
94.89009,400000000,1
132.130695,500000000,1
0.00172,10000,2
0.13166,1000000,2
11.954943,100000000,2
24.51138,200000000,2
51.381167,400000000,2
66.425455,500000000,2
0.000721,10000,4
0.063393,1000000,4
6.668886,100000000,4
14.666809,200000000,4
28.022715,400000000,4
37.507295,500000000,4
0.000877,10000,6
0.055254,1000000,6
4.937,100000000,6
11.103952,200000000,6
21.065521,400000000,6
27.162143,500000000,6
0.037873,10000,8
0.001114,1000000,8
4.376699,100000000,8
8.565987,200000000,8
16.986767,400000000,8
22.239754,500000000,8
0.036,10000,12
0.000806,1000000,12
3.223461,100000000,12
6.610024,200000000,12
13.314076,400000000,12
17.89519,500000000,12
