MPI BenchMarking, For Shared mode, (ptile=N):
p= 2, maxh= 256, maxn= 1112 r= 487.562 Mflop/s, g= 0.9, l= 509.5
p= 2, maxh= 256, maxn= 1212 r= 250.766 Mflop/s, g= 0.4, l= 655.8
p= 2, maxh= 256, maxn= 1312 r= 375.074 Mflop/s, g= 1.0, l= 960.2
p= 2, maxh= 256, maxn= 1412 r= 501.972 Mflop/s, g= 0.8, l= 489.1
p= 2, maxh= 356, maxn= 512 r= 249.780 Mflop/s, g= 0.5, l= 657.1
p= 2, maxh= 356, maxn= 612 r= 500.149 Mflop/s, g= 1.6, l= 1195.6
p= 2, maxh= 356, maxn= 712 r= 514.525 Mflop/s, g= 1.4, l= 1274.8
p= 2, maxh= 356, maxn= 812 r= 492.844 Mflop/s, g= 1.7, l= 1102.0
p= 2, maxh= 356, maxn= 912 r= 493.533 Mflop/s, g= 1.8, l= 1137.8
p= 2, maxh= 356, maxn= 1012 r= 511.346 Mflop/s, g= 1.8, l= 1146.7
p= 2, maxh= 356, maxn= 1112 r= 212.218 Mflop/s, g= 0.2, l= 302.2
p= 2, maxh= 356, maxn= 1212 r= 295.950 Mflop/s, g= 0.5, l= 375.6
p= 2, maxh= 356, maxn= 1312 r= 211.894 Mflop/s, g= 0.4, l= 264.6
p= 2, maxh= 356, maxn= 1412 r= 210.710 Mflop/s, g= 0.2, l= 320.1
p= 2, maxh= 456, maxn= 512 r= 357.737 Mflop/s, g= 0.6, l= 484.7
p= 2, maxh= 456, maxn= 612 r= 456.548 Mflop/s, g= 0.6, l= 689.4
p= 2, maxh= 456, maxn= 712 r= 232.577 Mflop/s, g= 0.3, l= 285.7
p= 2, maxh= 456, maxn= 812 r= 453.580 Mflop/s, g= 0.8, l= 587.9
p= 2, maxh= 456, maxn= 912 r= 463.342 Mflop/s, g= 0.7, l= 559.8
p= 2, maxh= 456, maxn= 1012 r= 468.502 Mflop/s, g= 0.9, l= 554.9
p= 2, maxh= 456, maxn= 1112 r= 213.231 Mflop/s, g= 0.3, l= 290.6
p= 2, maxh= 456, maxn= 1212 r= 231.316 Mflop/s, g= 0.8, l= 665.9
p= 2, maxh= 456, maxn= 1312 r= 334.830 Mflop/s, g= 1.9, l= 968.2
p= 2, maxh= 456, maxn= 1412 r= 249.300 Mflop/s, g= 0.8, l= 605.4
p= 2, maxh= 556, maxn= 512 r= 447.206 Mflop/s, g= 1.8, l= 954.1
p= 2, maxh= 556, maxn= 612 r= 229.455 Mflop/s, g= 0.7, l= 211.7
