3.470046,600,8
7.094384,600,4
14.823698,600,2
27.757930,600,1
28.922690,1200,8
27.757293,1800,8
2.359266,600,12
55.679497,1800,4
57.536631,1200,4
18.695494,1200,12
18.778751,1800,12
114.787382,1800,2
115.316816,1200,2
216.185015,1200,1
151.172451,3000,12
153.013552,2400,12
220.948695,1800,1
151.234921,3600,12
219.048653,2400,8
221.285574,3600,8
227.081063,3000,8
429.575875,3000,4
441.110671,2400,4
455.085325,3600,4
1.846934,600,16
14.886931,1200,16
14.461363,1800,16
113.280753,2400,16
112.968695,3000,16
797.023235,3000,2
113.987218,3600,16
845.815958,2400,2
858.661800,3600,2
1634.432131,3000,1
1675.827659,2400,1
1678.231560,3600,1
